Soloist time: 19.32, Estimated time: 18.58, Accompanist time: 18.52, Playback rate: 1.23, Fuzzy membership: negative_small
Soloist time: 19.50, Estimated time: 18.76, Accompanist time: 18.75, Playback rate: 1.24, Fuzzy membership: zero
Soloist time: 19.69, Estimated time: 18.95, Accompanist time: 18.98, Playback rate: 1.24, Fuzzy membership: zero
Soloist time: 19.88, Estimated time: 19.13, Accompanist time: 19.21, Playback rate: 1.24, Fuzzy membership: positive_small
Soloist time: 20.06, Estimated time: 19.32, Accompanist time: 19.44, Playback rate: 1.24, Fuzzy membership: positive_small
Soloist time: 20.25, Estimated time: 19.69, Accompanist time: 19.67, Playback rate: 1.24, Fuzzy membership: zero
Soloist time: 20.43, Estimated time: 19.88, Accompanist time: 19.90, Playback rate: 1.24, Fuzzy membership: zero
Soloist time: 20.62, Estimated time: 20.06, Accompanist time: 20.13, Playback rate: 1.24, Fuzzy membership: positive_small
Soloist time: 20.81, Estimated time: 20.25, Accompanist time: 20.35, Playback rate: 1.23, Fuzzy membership: positive_small
Soloist time: 20.99, Estimated time: 20.43, Accompanist time: 20.58, Playback rate: 1.23, Fuzzy membership: positive_small
Soloist time: 21.18, Estimated time: 20.62, Accompanist time: 20.81, Playback rate: 1.20, Fuzzy membership: positive_small
Soloist time: 21.36, Estimated time: 20.81, Accompanist time: 21.01, Playback rate: 1.11, Fuzzy membership: positive_small
Soloist time: 21.55, Estimated time: 20.99, Accompanist time: 21.19, Playback rate: 0.97, Fuzzy membership: positive_small
Soloist time: 21.73, Estimated time: 21.18, Accompanist time: 21.36, Playback rate: 0.89, Fuzzy membership: positive_small
Soloist time: 21.92, Estimated time: 21.36, Accompanist time: 21.52, Playback rate: 0.88, Fuzzy membership: positive_small
Soloist time: 22.11, Estimated time: 21.55, Accompanist time: 21.69, Playback rate: 0.91, Fuzzy membership: positive_small
Soloist time: 22.29, Estimated time: 21.73, Accompanist time: 21.87, Playback rate: 0.98, Fuzzy membership: positive_small
Soloist time: 22.48, Estimated time: 21.92, Accompanist time: 22.07, Playback rate: 1.05, Fuzzy membership: positive_small
Soloist time: 22.66, Estimated time: 21.92, Accompanist time: 22.23, Playback rate: 0.84, Fuzzy membership: positive_small
Soloist time: 22.85, Estimated time: 21.92, Accompanist time: 22.36, Playback rate: 0.73, Fuzzy membership: positive_large
Soloist time: 23.03, Estimated time: 21.92, Accompanist time: 22.50, Playback rate: 0.73, Fuzzy membership: positive_large
Soloist time: 23.22, Estimated time: 21.92, Accompanist time: 22.60, Playback rate: 0.54, Fuzzy membership: positive_large
Soloist time: 23.41, Estimated time: 22.48, Accompanist time: 22.72, Playback rate: 0.67, Fuzzy membership: positive_small
Soloist time: 23.59, Estimated time: 22.66, Accompanist time: 22.86, Playback rate: 0.74, Fuzzy membership: positive_small
Soloist time: 23.78, Estimated time: 22.85, Accompanist time: 22.99, Playback rate: 0.73, Fuzzy membership: positive_small
Soloist time: 23.96, Estimated time: 23.03, Accompanist time: 23.15, Playback rate: 0.83, Fuzzy membership: positive_small
Soloist time: 24.15, Estimated time: 23.22, Accompanist time: 23.35, Playback rate: 1.07, Fuzzy membership: positive_small
Soloist time: 24.33, Estimated time: 23.22, Accompanist time: 23.52, Playback rate: 0.94, Fuzzy membership: positive_small
